Circuit: Level 3 - underdamped series RLC

Transient Analysis
No. of Data Rows : 101

--------------------------------------------------------------------------------------------------------------------------------
Index   time                v(in)               v(n1)               v(out)              v1#branch           l1#branch
      87    1.7400000000e-03    5.0000000000e+00    5.0957002685e+00    5.0781155543e+00    4.7850134225e-03   -4.7850134225e-03
      88    1.7600000000e-03    5.0000000000e+00    5.0924530109e+00    4.9741073060e+00    4.6226505467e-03   -4.6226505467e-03
      89    1.7800000000e-03    5.0000000000e+00    5.0854062478e+00    4.8759537823e+00    4.2703123880e-03   -4.2703123880e-03
      90    1.8000000000e-03    5.0000000000e+00    5.0750240017e+00    4.7871575740e+00    3.7512000860e-03   -3.7512000860e-03
      91    1.8200000000e-03    5.0000000000e+00    5.0618759699e+00    4.7106828110e+00    3.0937984946e-03   -3.0937984946e-03
      92    1.8400000000e-03    5.0000000000e+00    5.0466101594e+00    4.6488676056e+00    2.3305079697e-03   -2.3305079697e-03
      93    1.8600000000e-03    5.0000000000e+00    5.0299238717e+00    4.6033651253e+00    1.4961935873e-03   -1.4961935873e-03
      94    1.8800000000e-03    5.0000000000e+00    5.0125342416e+00    4.5751141349e+00    6.2671208212e-04   -6.2671208212e-04
      95    1.9000000000e-03    5.0000000000e+00    4.9951494924e+00    4.5643386620e+00   -2.4252538051e-04    2.4252538051e-04
      96    1.9200000000e-03    5.0000000000e+00    4.9784419840e+00    4.5705753315e+00   -1.0779007981e-03    1.0779007981e-03
      97    1.9400000000e-03    5.0000000000e+00    4.9630240067e+00    4.5927259198e+00   -1.8487996674e-03    1.8487996674e-03
      98    1.9600000000e-03    5.0000000000e+00    4.9494271170e+00    4.6291318220e+00   -2.5286441503e-03    2.5286441503e-03
      99    1.9800000000e-03    5.0000000000e+00    4.9380856396e+00    4.6776664503e+00   -3.0957180217e-03    3.0957180217e-03
     100    2.0000000000e-03    5.0000000000e+00    4.9293247606e+00    4.7358410832e+00   -3.5337619695e-03    3.5337619695e-03
