Circuit: Level 4 - CMOS diode RLC mixed transient

Transient Analysis
No. of Data Rows : 101

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Index   time                v(vdd)              v(in)               v(supply)           v(rail)             v(out)              v(sense)            vdd#branch          vin#branch          l1#branch
      54    2.7000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628425685e+00    4.9628803870e+00    3.8990807381e-01    9.4914582593e-02   -1.8578715739e-03    0.0000000000e+00    1.8578715739e-03
      55    2.7500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628463342e+00    4.9628838838e+00    3.9562719998e-01    9.7881087743e-02   -1.8576832899e-03    0.0000000000e+00    1.8576832899e-03
      56    2.8000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628500732e+00    4.9628873582e+00    4.0130596539e-01    1.0087471316e-01   -1.8574963377e-03    0.0000000000e+00    1.8574963377e-03
      57    2.8500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628537861e+00    4.9628908106e+00    4.0694501539e-01    1.0389479192e-01   -1.8573106959e-03    0.0000000000e+00    1.8573106959e-03
      58    2.9000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628574731e+00    4.9628942414e+00    4.1254498325e-01    1.0694067008e-01   -1.8571263438e-03    0.0000000000e+00    1.8571263438e-03
      59    2.9500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628611348e+00    4.9628976509e+00    4.1810649052e-01    1.1001170643e-01   -1.8569432606e-03    0.0000000000e+00    1.8569432606e-03
      60    3.0000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628647715e+00    4.9629010394e+00    4.2363014717e-01    1.1310727222e-01   -1.8567614263e-03    0.0000000000e+00    1.8567614263e-03
      61    3.0500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628683836e+00    4.9629044072e+00    4.2911655190e-01    1.1622675097e-01   -1.8565808211e-03    0.0000000000e+00    1.8565808211e-03
      62    3.1000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628719715e+00    4.9629077547e+00    4.3456629236e-01    1.1936953819e-01   -1.8564014257e-03    0.0000000000e+00    1.8564014257e-03
      63    3.1500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628755356e+00    4.9629110822e+00    4.3997994533e-01    1.2253504120e-01   -1.8562232209e-03    0.0000000000e+00    1.8562232209e-03
      64    3.2000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628790762e+00    4.9629143899e+00    4.4535807703e-01    1.2572267887e-01   -1.8560461881e-03    0.0000000000e+00    1.8560461881e-03
      65    3.2500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628825938e+00    4.9629176782e+00    4.5070124325e-01    1.2893188140e-01   -1.8558703089e-03    0.0000000000e+00    1.8558703089e-03
      66    3.3000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628860887e+00    4.9629209474e+00    4.5600998962e-01    1.3216209013e-01   -1.8556955652e-03    0.0000000000e+00    1.8556955652e-03
      67    3.3500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628895612e+00    4.9629241978e+00    4.6128485180e-01    1.3541275732e-01   -1.8555219396e-03    0.0000000000e+00    1.8555219396e-03
      68    3.4000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628930117e+00    4.9629274295e+00    4.6652635568e-01    1.3868334594e-01   -1.8553494144e-03    0.0000000000e+00    1.8553494144e-03
