Circuit: Level 4 - BJT two capacitor transient

Transient Analysis
No. of Data Rows : 101

----------------------------------------------------------------------------------------------------------------------------------------------------
Index   time                v(vcc)              v(base)             v(coll)             v(emit)             vcc#branch          vbb#branch
      39    3.9000000000e-04    5.0000000000e+00    7.2000000000e-01    1.5611859148e+00    1.4449424468e-02   -1.7194070426e-03   -7.1240640716e-07
      40    4.0000000000e-04    5.0000000000e+00    7.2000000000e-01    1.5939543766e+00    1.4509496798e-02   -1.7030228117e-03   -7.1075287608e-07
      41    4.1000000000e-04    5.0000000000e+00    7.2000000000e-01    1.6264002539e+00    1.4565357608e-02   -1.6867998730e-03   -7.0921871175e-07
      42    4.2000000000e-04    5.0000000000e+00    7.2000000000e-01    1.6585265268e+00    1.4617305204e-02   -1.6707367366e-03   -7.0779498984e-07
      43    4.3000000000e-04    5.0000000000e+00    7.2000000000e-01    1.6903361626e+00    1.4665616351e-02   -1.6548319187e-03   -7.0647349473e-07
      44    4.4000000000e-04    5.0000000000e+00    7.2000000000e-01    1.7218321147e+00    1.4710547878e-02   -1.6390839426e-03   -7.0524665767e-07
      45    4.5000000000e-04    5.0000000000e+00    7.2000000000e-01    1.7530173214e+00    1.4752338171e-02   -1.6234913393e-03   -7.0410750112e-07
      46    4.6000000000e-04    5.0000000000e+00    7.2000000000e-01    1.7838947051e+00    1.4791208531e-02   -1.6080526474e-03   -7.0304958844e-07
      47    4.7000000000e-04    5.0000000000e+00    7.2000000000e-01    1.8144671713e+00    1.4827364440e-02   -1.5927664144e-03   -7.0206697842e-07
      48    4.8000000000e-04    5.0000000000e+00    7.2000000000e-01    1.8447376078e+00    1.4860996722e-02   -1.5776311961e-03   -7.0115418410e-07
      49    4.9000000000e-04    5.0000000000e+00    7.2000000000e-01    1.8747088842e+00    1.4892282616e-02   -1.5626455579e-03   -7.0030613537e-07
      50    5.0000000000e-04    5.0000000000e+00    7.2000000000e-01    1.9043838513e+00    1.4921386763e-02   -1.5478080744e-03   -6.9951814508e-07
      51    5.1000000000e-04    5.0000000000e+00    7.2000000000e-01    1.9337653402e+00    1.4948462125e-02   -1.5331173299e-03   -6.9878587811e-07
      52    5.2000000000e-04    5.0000000000e+00    7.2000000000e-01    1.9628561622e+00    1.4973650830e-02   -1.5185719189e-03   -6.9810532322e-07
      53    5.3000000000e-04    5.0000000000e+00    7.2000000000e-01    1.9916591084e+00    1.4997084954e-02   -1.5041704458e-03   -6.9747276743e-07
      54    5.4000000000e-04    5.0000000000e+00    7.2000000000e-01    2.0201769490e+00    1.5018887244e-02   -1.4899115255e-03   -6.9688477256e-07
      55    5.5000000000e-04    5.0000000000e+00    7.2000000000e-01    2.0484124334e+00    1.5039171790e-02   -1.4757937833e-03   -6.9633815378e-07
      56    5.6000000000e-04    5.0000000000e+00    7.2000000000e-01    2.0763682894e+00    1.5058044641e-02   -1.4618158553e-03   -6.9582996000e-07
      57    5.7000000000e-04    5.0000000000e+00    7.2000000000e-01    2.1040472237e+00    1.5075604386e-02   -1.4479763882e-03   -6.9535745592e-07
      58    5.8000000000e-04    5.0000000000e+00    7.2000000000e-01    2.1314519209e+00    1.5091942682e-02   -1.4342740395e-03   -6.9491810553e-07
      59    5.9000000000e-04    5.0000000000e+00    7.2000000000e-01    2.1585850441e+00    1.5107144747e-02   -1.4207074779e-03   -6.9450955697e-07
      60    6.0000000000e-04    5.0000000000e+00    7.2000000000e-01    2.1854492341e+00    1.5121289820e-02   -1.4072753829e-03   -6.9412962865e-07
      61    6.1000000000e-04    5.0000000000e+00    7.2000000000e-01    2.2120471098e+00    1.5134451586e-02   -1.3939764451e-03   -6.9377629645e-07
      62    6.2000000000e-04    5.0000000000e+00    7.2000000000e-01    2.2383812677e+00    1.5146698565e-02   -1.3808093661e-03   -6.9344768195e-07
      63    6.3000000000e-04    5.0000000000e+00    7.2000000000e-01    2.2644542823e+00    1.5158094481e-02   -1.3677728588e-03   -6.9314204162e-07
      64    6.4000000000e-04    5.0000000000e+00    7.2000000000e-01    2.2902687057e+00    1.5168698600e-02   -1.3548656471e-03   -6.9285775685e-07
      65    6.5000000000e-04    5.0000000000e+00    7.2000000000e-01    2.3158270677e+00    1.5178566043e-02   -1.3420864661e-03   -6.9259332470e-07
      66    6.6000000000e-04    5.0000000000e+00    7.2000000000e-01    2.3411318759e+00    1.5187748083e-02   -1.3294340621e-03   -6.9234734944e-07
      67    6.7000000000e-04    5.0000000000e+00    7.2000000000e-01    2.3661856154e+00    1.5196292406e-02   -1.3169071923e-03   -6.9211853472e-07
      68    6.8000000000e-04    5.0000000000e+00    7.2000000000e-01    2.3909907494e+00    1.5204243375e-02   -1.3045046253e-03   -6.9190567631e-07
      69    6.9000000000e-04    5.0000000000e+00    7.2000000000e-01    2.4155497187e+00    1.5211642255e-02   -1.2922251406e-03   -6.9170765541e-07
      70    7.0000000000e-04    5.0000000000e+00    7.2000000000e-01    2.4398649420e+00    1.5218527432e-02   -1.2800675290e-03   -6.9152343247e-07
      71    7.1000000000e-04    5.0000000000e+00    7.2000000000e-01    2.4639388159e+00    1.5224934619e-02   -1.2680305920e-03   -6.9135204148e-07
      72    7.2000000000e-04    5.0000000000e+00    7.2000000000e-01    2.4877737151e+00    1.5230897038e-02   -1.2561131425e-03   -6.9119258466e-07
      73    7.3000000000e-04    5.0000000000e+00    7.2000000000e-01    2.5113719923e+00    1.5236445597e-02   -1.2443140039e-03   -6.9104422757e-07
      74    7.4000000000e-04    5.0000000000e+00    7.2000000000e-01    2.5347359785e+00    1.5241609052e-02   -1.2326320108e-03   -6.9090619455e-07
      75    7.5000000000e-04    5.0000000000e+00    7.2000000000e-01    2.5578679829e+00    1.5246414158e-02   -1.2210660085e-03   -6.9077776456e-07
      76    7.6000000000e-04    5.0000000000e+00    7.2000000000e-01    2.5807702933e+00    1.5250885806e-02   -1.2096148533e-03   -6.9065826723e-07
      77    7.7000000000e-04    5.0000000000e+00    7.2000000000e-01    2.6034451758e+00    1.5255047155e-02   -1.1982774121e-03   -6.9054707930e-07
      78    7.8000000000e-04    5.0000000000e+00    7.2000000000e-01    2.6258948754e+00    1.5258919755e-02   -1.1870525623e-03   -6.9044362125e-07
      79    7.9000000000e-04    5.0000000000e+00    7.2000000000e-01    2.6481216156e+00    1.5262523657e-02   -1.1759391922e-03   -6.9034735419e-07
      80    8.0000000000e-04    5.0000000000e+00    7.2000000000e-01    2.6701275991e+00    1.5265877514e-02   -1.1649362004e-03   -6.9025777699e-07
      81    8.1000000000e-04    5.0000000000e+00    7.2000000000e-01    2.6919150076e+00    1.5268998688e-02   -1.1540424962e-03   -6.9017442361e-07
      82    8.2000000000e-04    5.0000000000e+00    7.2000000000e-01    2.7134860018e+00    1.5271903330e-02   -1.1432569991e-03   -6.9009686062e-07
      83    8.3000000000e-04    5.0000000000e+00    7.2000000000e-01    2.7348427220e+00    1.5274606470e-02   -1.1325786390e-03   -6.9002468491e-07
      84    8.4000000000e-04    5.0000000000e+00    7.2000000000e-01    2.7559872878e+00    1.5277122094e-02   -1.1220063561e-03   -6.8995752151e-07
      85    8.5000000000e-04    5.0000000000e+00    7.2000000000e-01    2.7769217986e+00    1.5279463215e-02   -1.1115391007e-03   -6.8989502168e-07
      86    8.6000000000e-04    5.0000000000e+00    7.2000000000e-01    2.7976483335e+00    1.5281641945e-02   -1.1011758333e-03   -6.8983686100e-07
      87    8.7000000000e-04    5.0000000000e+00    7.2000000000e-01    2.8181689515e+00    1.5283669550e-02   -1.0909155242e-03   -6.8978273769e-07
      88    8.8000000000e-04    5.0000000000e+00    7.2000000000e-01    2.8384856920e+00    1.5285556519e-02   -1.0807571540e-03   -6.8973237103e-07
      89    8.9000000000e-04    5.0000000000e+00    7.2000000000e-01    2.8586005742e+00    1.5287312609e-02   -1.0706997129e-03   -6.8968549987e-07
      90    9.0000000000e-04    5.0000000000e+00    7.2000000000e-01    2.8785155982e+00    1.5288946900e-02   -1.0607422009e-03   -6.8964188124e-07
      91    9.1000000000e-04    5.0000000000e+00    7.2000000000e-01    2.8982327442e+00    1.5290467844e-02   -1.0508836279e-03   -6.8960128913e-07
      92    9.2000000000e-04    5.0000000000e+00    7.2000000000e-01    2.9177539736e+00    1.5291883302e-02   -1.0411230132e-03   -6.8956351324e-07
      93    9.3000000000e-04    5.0000000000e+00    7.2000000000e-01    2.9370812285e+00    1.5293200594e-02   -1.0314593858e-03   -6.8952835794e-07
      94    9.4000000000e-04    5.0000000000e+00    7.2000000000e-01    2.9562164319e+00    1.5294426529e-02   -1.0218917840e-03   -6.8949564119e-07
      95    9.5000000000e-04    5.0000000000e+00    7.2000000000e-01    2.9751614884e+00    1.5295567444e-02   -1.0124192558e-03   -6.8946519363e-07
      96    9.6000000000e-04    5.0000000000e+00    7.2000000000e-01    2.9939182836e+00    1.5296629237e-02   -1.0030408582e-03   -6.8943685769e-07
      97    9.7000000000e-04    5.0000000000e+00    7.2000000000e-01    3.0124886850e+00    1.5297617396e-02   -9.9375565748e-04   -6.8941048675e-07
      98    9.8000000000e-04    5.0000000000e+00    7.2000000000e-01    3.0308745417e+00    1.5298537028e-02   -9.8456272916e-04   -6.8938594437e-07
      99    9.9000000000e-04    5.0000000000e+00    7.2000000000e-01    3.0490776845e+00    1.5299392886e-02   -9.7546115777e-04   -6.8936310363e-07
     100    1.0000000000e-03    5.0000000000e+00    7.2000000000e-01    3.0670999264e+00    1.5300189394e-02   -9.6645003681e-04   -6.8934184641e-07
